,ticker,model,loss,se,ci_low,ci_high
51,JPM,LA,4.414408345382966e-09,4.46778844443282e-10,3.6219527027800712e-09,5.360677148891753e-09
52,JPM,EN,4.777111868469515e-09,4.258340418186485e-10,4.024429931377176e-09,5.698812921886209e-09
53,JPM,P-LA,4.071764907211625e-09,8.376466501041212e-10,2.5306212240655623e-09,5.772566786049451e-09
54,JPM,A-LA,9.952901775493223e-09,6.62096481105416e-10,8.74592461951396e-09,1.1321498607803317e-08
55,JPM,BG,5.2199213502521945e-09,7.549888691628714e-10,3.76888079453873e-09,6.727721550823079e-09
56,JPM,RF,3.646205586598522e-09,5.422422074515916e-10,2.5588342369779012e-09,4.693216058169024e-09
57,JPM,GB,2.555455928261387e-09,4.5140380245670774e-10,1.6975633895810765e-09,3.454065238788552e-09
58,JPM,NN1_ensemble,3.2073376572284136e-09,5.354264200150621e-10,2.140725971761558e-09,4.232115495894768e-09
59,JPM,NN1_top1,3.1948897243748548e-09,4.963840077297373e-10,2.24918438760812e-09,4.1838000627393544e-09
60,JPM,NN2_ensemble,2.850143979177161e-09,4.788987656936076e-10,1.8784497517661346e-09,3.748206439503895e-09
61,JPM,NN2_top1,2.9370702996210518e-09,5.274139805271681e-10,1.856542730883079e-09,3.930804094881692e-09
62,JPM,NN3_ensemble,2.9647442696328733e-09,4.761188408397309e-10,2.0238470463716034e-09,3.892248675309197e-09
63,JPM,NN3_top1,3.863625460135015e-09,6.081527348396841e-10,2.6377636053781945e-09,4.991001896019726e-09
64,JPM,NN4_ensemble,3.359097063860202e-09,3.836434133746222e-10,2.6451474751998544e-09,4.156236676545e-09
65,JPM,NN4_top1,3.141180876854457e-09,6.081684607794355e-10,1.9891231089926936e-09,4.379869962410748e-09
