feature_set,horizon,loss,model,regime,pooled_ratio_vs_HAR
M_HAR,22,mse,NN4_top1,low_vol,0.9239851584760149
M_HAR,22,mse,P-LA,high_vol,0.9582522495585621
M_HAR,22,mse,P-LA,low_vol,0.9147054387643866
M_HAR,22,mse,RF,high_vol,3.6516308196786174
M_HAR,22,mse,RF,low_vol,1.9706922128067792
M_HAR,22,mse,RR,high_vol,0.959386877006387
M_HAR,22,mse,RR,low_vol,0.9086881289150579
M_HAR,22,mse,SHAR,high_vol,0.9791448182302624
M_HAR,22,mse,SHAR,low_vol,1.0047017845159396
M_HAR,22,qlike,A-LA,high_vol,0.7817731595183061
M_HAR,22,qlike,A-LA,low_vol,1.8366618099992598
M_HAR,22,qlike,BG,high_vol,1.9526229122045216
M_HAR,22,qlike,BG,low_vol,1.2829823208514377
M_HAR,22,qlike,EN,high_vol,0.929724277143111
M_HAR,22,qlike,EN,low_vol,1.043002044514019
M_HAR,22,qlike,GB,high_vol,1.1897888036274191
M_HAR,22,qlike,GB,low_vol,1.1556957876491603
M_HAR,22,qlike,HAR,high_vol,1.0
M_HAR,22,qlike,HAR,low_vol,1.0
M_HAR,22,qlike,HARQ,high_vol,1.266797937444964
M_HAR,22,qlike,HARQ,low_vol,0.8812285772314471
M_HAR,22,qlike,LA,high_vol,0.9128419664454296
M_HAR,22,qlike,LA,low_vol,1.0861188129279742
M_HAR,22,qlike,LevHAR,high_vol,1.0971197738682357
M_HAR,22,qlike,LevHAR,low_vol,0.7884654067815248
M_HAR,22,qlike,LogHAR,high_vol,1.0225549242654854
M_HAR,22,qlike,LogHAR,low_vol,0.7149150983914837
M_HAR,22,qlike,NN1_ensemble,high_vol,1.1172106996617297
M_HAR,22,qlike,NN1_ensemble,low_vol,0.8401719383718973
M_HAR,22,qlike,NN1_top1,high_vol,1.2804134171093688
M_HAR,22,qlike,NN1_top1,low_vol,0.810996747393653
M_HAR,22,qlike,NN2_ensemble,high_vol,1.1475490461164672
M_HAR,22,qlike,NN2_ensemble,low_vol,1.0444094286805157
M_HAR,22,qlike,NN2_top1,high_vol,1.2478797724063566
M_HAR,22,qlike,NN2_top1,low_vol,0.9451472672768596
M_HAR,22,qlike,NN3_ensemble,high_vol,1.106600671541815
M_HAR,22,qlike,NN3_ensemble,low_vol,1.0320873341232184
M_HAR,22,qlike,NN3_top1,high_vol,1.5527292796555325
M_HAR,22,qlike,NN3_top1,low_vol,1.7820218030038462
M_HAR,22,qlike,NN4_ensemble,high_vol,1.1109062610649325
M_HAR,22,qlike,NN4_ensemble,low_vol,1.0230907278968397
M_HAR,22,qlike,NN4_top1,high_vol,1.1930792273470134
M_HAR,22,qlike,NN4_top1,low_vol,0.9018007947588312
M_HAR,22,qlike,P-LA,high_vol,0.9757587914771522
M_HAR,22,qlike,P-LA,low_vol,0.9338190936996025
M_HAR,22,qlike,RF,high_vol,1.804429408324611
M_HAR,22,qlike,RF,low_vol,1.1568347286171954
M_HAR,22,qlike,RR,high_vol,0.9837834410738852
M_HAR,22,qlike,RR,low_vol,0.9309715936135218
M_HAR,22,qlike,SHAR,high_vol,0.9883658617799803
M_HAR,22,qlike,SHAR,low_vol,1.0024977428124602
M_ALL,1,mse,A-LA,high_vol,0.9853892887245932
M_ALL,1,mse,A-LA,low_vol,4.2257501274246065
M_ALL,1,mse,BG,high_vol,1.104519073073505
M_ALL,1,mse,BG,low_vol,1.1631259939933078
M_ALL,1,mse,EN,high_vol,0.9199615598252636
M_ALL,1,mse,EN,low_vol,1.0813966327740465
M_ALL,1,mse,GB,high_vol,1.0207782391004818
M_ALL,1,mse,GB,low_vol,0.8911772586340772
M_ALL,1,mse,HAR,high_vol,1.0
M_ALL,1,mse,HAR,low_vol,1.0
M_ALL,1,mse,HAR-X,high_vol,0.9662045166141601
M_ALL,1,mse,HAR-X,low_vol,1.220027533783528
M_ALL,1,mse,HARQ,high_vol,1.055259057176816
M_ALL,1,mse,HARQ,low_vol,1.0364158516419202
M_ALL,1,mse,LA,high_vol,0.9084364811536919
M_ALL,1,mse,LA,low_vol,0.955804910771383
M_ALL,1,mse,LevHAR,high_vol,1.0516429430525613
M_ALL,1,mse,LevHAR,low_vol,1.0338328779562733
M_ALL,1,mse,LogHAR,high_vol,0.9683634628980347
M_ALL,1,mse,LogHAR,low_vol,0.9214380025636082
M_ALL,1,mse,NN1_ensemble,high_vol,0.9174701360240003
M_ALL,1,mse,NN1_ensemble,low_vol,0.9422652209056733
M_ALL,1,mse,NN1_top1,high_vol,0.9766667080484486
M_ALL,1,mse,NN1_top1,low_vol,1.319023853006205
M_ALL,1,mse,NN2_ensemble,high_vol,0.9042419103988536
M_ALL,1,mse,NN2_ensemble,low_vol,0.8825482115961959
M_ALL,1,mse,NN2_top1,high_vol,1.053943463234529
M_ALL,1,mse,NN2_top1,low_vol,1.2356970837470607
M_ALL,1,mse,NN3_ensemble,high_vol,0.9246409466907138
M_ALL,1,mse,NN3_ensemble,low_vol,0.910861449274186
M_ALL,1,mse,NN3_top1,high_vol,1.0438623763051602
M_ALL,1,mse,NN3_top1,low_vol,1.3201456785695662
M_ALL,1,mse,NN4_ensemble,high_vol,0.9422080109097549
M_ALL,1,mse,NN4_ensemble,low_vol,0.9227019480640083
M_ALL,1,mse,NN4_top1,high_vol,1.1098519087697218
M_ALL,1,mse,NN4_top1,low_vol,1.1919457696611
M_ALL,1,mse,P-LA,high_vol,0.945609610419602
M_ALL,1,mse,P-LA,low_vol,1.0228475366377856
M_ALL,1,mse,RF,high_vol,0.990146917421756
M_ALL,1,mse,RF,low_vol,0.9981445942382661
M_ALL,1,mse,RR,high_vol,0.9625093443656736
M_ALL,1,mse,RR,low_vol,1.1602974937072947
M_ALL,1,mse,SHAR,high_vol,1.036643912663189
M_ALL,1,mse,SHAR,low_vol,1.0842977002670222
M_ALL,1,qlike,A-LA,high_vol,0.8767001234845945
M_ALL,1,qlike,A-LA,low_vol,2.5594308715373315
M_ALL,1,qlike,BG,high_vol,1.02511124115275
M_ALL,1,qlike,BG,low_vol,1.0235317722249515
M_ALL,1,qlike,EN,high_vol,1.659003777396835
M_ALL,1,qlike,EN,low_vol,2.876396788533304
M_ALL,1,qlike,GB,high_vol,1.3079853946311644
M_ALL,1,qlike,GB,low_vol,1.4435527268899195
M_ALL,1,qlike,HAR,high_vol,1.0
M_ALL,1,qlike,HAR,low_vol,1.0
M_ALL,1,qlike,HAR-X,high_vol,1.7655689031468604
M_ALL,1,qlike,HAR-X,low_vol,3.616307512104211
M_ALL,1,qlike,HARQ,high_vol,1.0683542521624216
M_ALL,1,qlike,HARQ,low_vol,1.1079994915570481
M_ALL,1,qlike,LA,high_vol,1.0030321707856893
M_ALL,1,qlike,LA,low_vol,1.4922180738306086
M_ALL,1,qlike,LevHAR,high_vol,1.1429670114184916
M_ALL,1,qlike,LevHAR,low_vol,1.01538614302678
M_ALL,1,qlike,LogHAR,high_vol,1.0302623774268014
M_ALL,1,qlike,LogHAR,low_vol,0.9360276317879427
M_ALL,1,qlike,NN1_ensemble,high_vol,1.3258276869644046
M_ALL,1,qlike,NN1_ensemble,low_vol,1.1266772524094266
M_ALL,1,qlike,NN1_top1,high_vol,1.3993156103807867
M_ALL,1,qlike,NN1_top1,low_vol,1.2291097898591048
M_ALL,1,qlike,NN2_ensemble,high_vol,1.381663669677226
M_ALL,1,qlike,NN2_ensemble,low_vol,1.0646909667446864
M_ALL,1,qlike,NN2_top1,high_vol,2.914825826848896
M_ALL,1,qlike,NN2_top1,low_vol,1.6974728963651746
M_ALL,1,qlike,NN3_ensemble,high_vol,1.090101632036175
M_ALL,1,qlike,NN3_ensemble,low_vol,1.0195259929286509
M_ALL,1,qlike,NN3_top1,high_vol,2.404550323613559
M_ALL,1,qlike,NN3_top1,low_vol,1.5495208701564016
