alpha,model,n,expected_hits,observed_hits,hit_rate,quantile_loss,kupiec_LR,kupiec_p,christoffersen_LR,christoffersen_p,ticker,horizon
0.05,NN4_top1,439,21.950000000000003,21,0.04783599088838269,0.0014428647109904697,0.043884892339519865,0.8340679166229504,2.159887735254074,0.3396145884826576,AMZN,22
0.01,HAR,439,4.39,4,0.009111617312072893,0.0003790776569370179,0.03607093656483329,0.849369075809546,0.10980469937181425,0.946577577038257,AMZN,22
0.01,LogHAR,439,4.39,4,0.009111617312072893,0.0003737932752859837,0.03607093656483329,0.849369075809546,0.10980469937181425,0.946577577038257,AMZN,22
0.01,LevHAR,439,4.39,4,0.009111617312072893,0.00038723858812722366,0.03607093656483329,0.849369075809546,0.10980469937181425,0.946577577038257,AMZN,22
0.01,SHAR,439,4.39,4,0.009111617312072893,0.0003807307677570945,0.03607093656483329,0.849369075809546,0.10980469937181425,0.946577577038257,AMZN,22
0.01,HARQ,439,4.39,4,0.009111617312072893,0.0003761483639735728,0.03607093656483329,0.849369075809546,0.10980469937181425,0.946577577038257,AMZN,22
0.01,HAR-X,439,4.39,6,0.01366742596810934,0.00036924036111189777,0.5351344818817907,0.46445617952171814,0.7018065073296782,0.7040518649985179,AMZN,22
0.01,RR,439,4.39,6,0.01366742596810934,0.00037247879360858996,0.5351344818817907,0.46445617952171814,0.7018065073296782,0.7040518649985179,AMZN,22
0.01,LA,439,4.39,6,0.01366742596810934,0.0003707419168178865,0.5351344818817907,0.46445617952171814,0.7018065073296782,0.7040518649985179,AMZN,22
0.01,EN,439,4.39,5,0.011389521640091117,0.00037135503603778406,0.08194342421215595,0.7746808159076976,0.1974194316846294,0.9060056689474754,AMZN,22
0.01,P-LA,439,4.39,6,0.01366742596810934,0.0003742322938841958,0.5351344818817907,0.46445617952171814,0.7018065073296782,0.7040518649985179,AMZN,22
0.01,A-LA,439,4.39,2,0.004555808656036446,0.000383764199268514,1.6483908356977608,0.19917808852281038,1.666739523900116,0.43458237698387336,AMZN,22
0.01,BG,439,4.39,5,0.011389521640091117,0.0004233347839643524,0.08194342421215595,0.7746808159076976,0.1974194316846294,0.9060056689474754,AMZN,22
0.01,RF,439,4.39,5,0.011389521640091117,0.0004073778850472306,0.08194342421215595,0.7746808159076976,0.1974194316846294,0.9060056689474754,AMZN,22
0.01,GB,439,4.39,4,0.009111617312072893,0.00038752674101336706,0.03607093656483329,0.849369075809546,0.10980469937181425,0.946577577038257,AMZN,22
0.01,NN1_ensemble,439,4.39,6,0.01366742596810934,0.0003702265616253084,0.5351344818817907,0.46445617952171814,0.7018065073296782,0.7040518649985179,AMZN,22
0.01,NN1_top1,439,4.39,7,0.015945330296127564,0.00037320910570915936,1.3278384309437854,0.24919012746793345,1.5552266185495682,0.4595013913274918,AMZN,22
0.01,NN2_ensemble,439,4.39,6,0.01366742596810934,0.000369491888363708,0.5351344818817907,0.46445617952171814,0.7018065073296782,0.7040518649985179,AMZN,22
0.01,NN2_top1,439,4.39,7,0.015945330296127564,0.00037135818028846885,1.3278384309437854,0.24919012746793345,1.5552266185495682,0.4595013913274918,AMZN,22
0.01,NN3_ensemble,439,4.39,6,0.01366742596810934,0.00036938318124847834,0.5351344818817907,0.46445617952171814,0.7018065073296782,0.7040518649985179,AMZN,22
0.01,NN3_top1,439,4.39,4,0.009111617312072893,0.00036728355619749565,0.03607093656483329,0.849369075809546,0.10980469937181425,0.946577577038257,AMZN,22
0.01,NN4_ensemble,439,4.39,6,0.01366742596810934,0.00037515376989854875,0.5351344818817907,0.46445617952171814,0.7018065073296782,0.7040518649985179,AMZN,22
0.01,NN4_top1,439,4.39,9,0.02050113895216401,0.0003893806428355536,3.7511893651913795,0.052769949827918605,4.128839447508838,0.12689190156480779,AMZN,22
