Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
A-LA,3.795426153616076,0.99991592903611,0.026055804787047,AMZN,False,False,False
BG,3.723839765484808,0.9998890823864066,0.0707873164114134,AMZN,False,False,False
RF,2.5577476503997167,0.994564542444541,0.0379654034050366,AMZN,False,False,False
GB,2.564991644967776,0.9946750423016468,0.0358043818199325,AMZN,False,False,False
NN1_ensemble,1.566601317676656,0.9410349693594808,0.0353395946718316,AMZN,False,False,False
NN1_top1,1.6084148302657464,0.9457675588256858,0.0349419212684245,AMZN,False,False,False
NN2_ensemble,0.7124660714283917,0.7617222170132185,0.0070162550206505,AMZN,False,False,False
NN2_top1,1.8340125050717688,0.9663347998263018,0.0282261719326191,AMZN,False,False,False
NN3_ensemble,0.4694359641317134,0.68050417697802,0.0038307380091232,AMZN,False,False,False
NN3_top1,1.623680719930763,0.947418304560443,0.0315280555300058,AMZN,False,False,False
NN4_ensemble,0.9549372430397164,0.8299319170742311,0.0060457985267402,AMZN,False,False,False
NN4_top1,1.3273018544389874,0.9074498617590144,0.0144525054747247,AMZN,False,False,False
HAR,,,,JPM,False,False,False
LogHAR,-5.346575427581304,7.229933783212184e-08,-0.0461611850219674,JPM,True,True,True
LevHAR,-1.89789914809244,0.0291832942006011,-0.0208311430374264,JPM,False,False,False
SHAR,0.4898669686218171,0.6877633488116282,0.0005579990476248,JPM,False,False,False
HARQ,-2.195059964394876,0.0143416886961959,-0.0163029717031104,JPM,False,False,False
HAR-X,1.0107822335573913,0.8436606421058805,0.0183003463933988,JPM,False,False,False
RR,1.1151885948663258,0.8673094473967016,0.0197587939552386,JPM,False,False,False
LA,2.1090052784441355,0.9822444145532162,0.0092112263318124,JPM,False,False,False
EN,2.9554217969195613,0.9983545342644458,0.0136675308403517,JPM,False,False,False
P-LA,-4.613629798134455,2.601701676515805e-06,-0.0451426576873533,JPM,True,True,True
A-LA,7.33684980411684,0.9999999999994652,0.0735912222462837,JPM,False,False,False
BG,1.4066440827248246,0.9198789670274584,0.0580133008849396,JPM,False,False,False
RF,1.146228330161731,0.8738367463869599,0.034625114462379,JPM,False,False,False
GB,2.9455869176252434,0.9983023738083718,0.040258917222328,JPM,False,False,False
NN1_ensemble,-2.4382748198519764,0.0075770325405897,-0.0208551629732652,JPM,False,False,False
NN1_top1,-1.0163319000450426,0.1550162152688412,-0.0103911768707331,JPM,False,False,False
NN2_ensemble,-2.0603954388233423,0.0199754085164108,-0.0162046807890707,JPM,False,False,False
NN2_top1,1.820463052725678,0.9653146093979889,0.0161250350384432,JPM,False,False,False
NN3_ensemble,-3.589719529911678,0.0001842300089909,-0.0243551706503477,JPM,True,True,True
NN3_top1,-1.6234463039707436,0.0526067375444793,-0.0182566414087399,JPM,False,False,False
NN4_ensemble,5.431456028843705,0.9999999535676432,0.0428974670239213,JPM,False,False,False
NN4_top1,9.3054231866715,1.0,0.1098603134750769,JPM,False,False,False
