model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
NN4_ensemble,-0.00010740178531989299,6.50427936696248e-05,2.295421801433179,0.4934163284402907,33.402831721621524,5.58042468901121e-08,0.357894718387314,7.528544511393825e-09,1.0255499127980501e-08,5.777106258829136e-08,AAPL
HAR,2.9567095482884986e-05,2.4805213376212577e-05,1.0482160501887599,0.11888314405228034,26.04771241036775,2.207044638158351e-06,0.4815712376709079,1.7673233303414672e-09,7.18282140563963e-11,3.654617803256439e-08,AMZN
LogHAR,-1.6783017558433184e-05,2.9067759442380014e-05,1.2314496476596553,0.1399965731381244,21.909712150652055,1.7472958943387518e-05,0.49886628723437487,1.83963310603929e-09,1.2422721916351195e-09,3.532697877828524e-08,AMZN
LevHAR,1.0395253426253076e-05,2.385006017347457e-05,1.1216584832675194,0.1175836638603511,22.84111951855026,1.0967658422678106e-05,0.48173658791154295,1.7543139028064827e-09,3.995084914178359e-10,3.653452181328977e-08,AMZN
SHAR,2.8445059576715024e-05,2.5424951574397444e-05,1.054788580796582,0.12308554138609484,26.693099637345565,1.5983322458890115e-06,0.4760217478100407,1.813707976612157e-09,9.053759105789618e-11,3.6937384422298664e-08,AMZN
HARQ,1.5066575661531177e-05,2.4537659932912688e-05,1.065362321443051,0.12150124127779405,18.324310119401865,0.00010493650975418323,0.4371620816069217,1.0622328357070828e-09,1.1599937075792383e-10,3.967676229355129e-08,AMZN
HAR-X,9.133941423448824e-06,2.6364777098976653e-05,0.9905504404116514,0.1118372364609262,0.9795653727138016,0.612759540724751,0.5174526350153881,4.035192035356359e-11,3.3196586238446618e-12,3.401675059586646e-08,AMZN
RR,9.133940601041535e-06,2.6364777465521877e-05,0.9905504428348416,0.11183723778476024,0.9795652923353011,0.6127595653510979,0.5174526360080622,4.035191895422057e-11,3.319656911423731e-12,3.401675052588877e-08,AMZN
LA,8.825267255591998e-06,3.2778272146956063e-05,0.9830814392131142,0.13400154005710715,0.43437962489923787,0.8047771980751554,0.5020120234663203,1.4454254727482436e-11,1.048129236283884e-11,3.510522287905683e-08,AMZN
EN,1.3754281906236521e-05,2.8091087281400514e-05,0.9724012599043527,0.11805249810684863,1.1390371624799058,0.565797758799754,0.5160776367440039,3.146835259727476e-11,2.930592306068304e-11,3.4113679885427347e-08,AMZN
P-LA,5.773407930619632e-05,2.196975598668252e-05,1.030445858958242,0.10984723363881885,54.39019919266075,1.5464296510003805e-12,0.4345758007829922,4.2137432455275384e-09,2.6743886612000298e-11,3.985907987756979e-08,AMZN
BG,6.633271697044886e-05,1.6077915322640865e-05,0.7226515982788316,0.08131461407111305,17.772084322415637,0.0001383059688920829,0.33728173741309597,5.580276838390682e-10,3.5021851622125094e-09,4.671773900260247e-08,AMZN
RF,4.1289569045855566e-05,1.8890681555674623e-05,0.792713433845672,0.08954835936080778,5.3583566075855416,0.06861951539073807,0.37532897352878003,7.048136540640271e-10,1.8091511256409345e-09,4.403563267330867e-08,AMZN
GB,3.0841534994265155e-05,2.030278700035382e-05,0.966193136817693,0.10797216294125327,14.282732309362679,0.0007916698139297518,0.375541552484726,4.5790119255158875e-10,3.2411022347786457e-11,4.402064710743253e-08,AMZN
NN1_ensemble,1.5891801483737567e-05,3.1309402074188954e-05,1.1492758075046197,0.13997970427338355,12.619832117890128,0.001818185853243448,0.2675700278851916,2.797031242964222e-09,3.18215016489612e-10,5.163200443786773e-08,AMZN
NN2_ensemble,2.2179077079796717e-05,3.533983682896097e-05,1.1816168477663005,0.16319542854802496,27.796657237805775,9.205186102256846e-07,0.4256146835379072,4.223836308491885e-09,7.088076527997079e-10,4.049078592863506e-08,AMZN
NN3_ensemble,7.70811857006141e-05,2.539735602444412e-05,0.9866431174149158,0.12263849318542919,30.892976698482805,1.9573808951456328e-07,0.2792900794912321,5.483944234939317e-09,3.6082649710942978e-12,5.080580974407623e-08,AMZN
NN4_ensemble,5.6933720050608147e-05,2.4287332911082693e-05,0.9521500410771375,0.11258832683873936,26.288989929080437,1.9562230393344038e-06,0.48013265618265766,1.9965197884029547e-09,8.548038716020031e-11,3.664758956487934e-08,AMZN
