date,regime,p_high
2017-04-20,0,4.5204901223339286e-05
2017-04-21,0,2.440319428249436e-05
2017-04-24,0,1.4090040041889604e-05
2017-04-25,0,1.1999329235347369e-05
2017-04-26,0,3.179125735667815e-05
2017-04-27,0,2.5223001250818536e-05
2017-04-28,0,2.7502092282678144e-05
2017-05-01,0,3.2159179271575085e-05
2017-05-02,0,0.0001139866655149315
2017-05-03,0,0.001855357262654748
2017-05-04,0,0.00013080304220477827
2017-05-05,0,0.00010503670960817356
2017-05-08,0,0.001351842368298166
2017-05-09,0,0.0009288773340967887
2017-05-10,0,0.0002771006819122348
2017-05-11,0,0.0003185601741047189
2017-05-12,0,0.0001313100805249777
2017-05-15,0,0.0002358758083969871
2017-05-16,0,0.0014672415837442964
2017-05-17,0,0.035909058845843195
2017-05-18,0,0.018238058554594826
2017-05-19,0,0.0010007629488544753
2017-05-22,0,0.00010706644647606901
2017-05-23,0,2.0446214982105326e-05
2017-05-24,0,2.4767185943648667e-05
2017-05-25,0,2.6680409648565756e-05
2017-05-26,0,1.484078234077407e-05
2017-05-30,0,1.991957935783874e-05
2017-05-31,0,6.616670115013081e-05
2017-06-01,0,2.6960873269399958e-05
2017-06-02,0,2.612949256983521e-05
2017-06-05,0,7.703199934656306e-05
2017-06-06,0,0.0007672403680858688
2017-06-07,0,0.004319289845224092
2017-06-08,0,0.03752193486286918
2017-06-09,1,0.9925419715612206
2017-06-12,1,0.9933920776468932
2017-06-13,1,0.8906082300623338
2017-06-14,1,0.8144751343675027
2017-06-15,1,0.710705891310803
2017-06-16,0,0.18736983924817258
2017-06-19,0,0.04123028829075679
2017-06-20,0,0.012959527041158596
2017-06-21,0,0.0006473099799338849
2017-06-22,0,0.000241792377620197
2017-06-23,0,0.00034764610226413586
2017-06-26,0,0.002695518293368058
2017-06-27,0,0.005087964161227512
2017-06-28,0,0.008151791597636073
2017-06-29,0,0.01560396454877001
2017-06-30,0,0.008526898079880326
2017-07-03,0,0.004061058731201161
2017-07-05,0,0.0016509947434390259
2017-07-06,0,0.000499296739202719
2017-07-07,0,0.00013994443342130172
2017-07-10,0,0.00024077334829066807
2017-07-11,0,0.0002033014389695277
2017-07-12,0,0.00018272573345887394
2017-07-13,0,0.0005682535493208421
2017-07-14,0,8.882995241908904e-05
2017-07-17,0,0.0002524700662073472
2017-07-18,0,8.185321067020046e-05
2017-07-19,0,0.0001086284084910043
2017-07-20,0,0.00014026392507974705
2017-07-21,0,0.00018246695462176957
2017-07-24,0,3.982939081458893e-05
2017-07-25,0,0.0001713504505650992
2017-07-26,0,0.002342491172472008
2017-07-27,0,0.09486799856758352
2017-07-28,0,0.004788848107998385
2017-07-31,0,0.0017277098390492643
2017-08-01,0,0.0022687639414429414
2017-08-02,0,0.015449484651457842
2017-08-03,0,0.004604754581427319
2017-08-04,0,0.0020065529177470762
2017-08-07,0,0.00031659745560584114
2017-08-08,0,0.004474553313330642
2017-08-09,0,0.008172218281478995
2017-08-10,0,0.012109586756581782
2017-08-11,0,0.0057550608129329555
2017-08-14,0,0.0004264554131122451
2017-08-15,0,0.00034910251280531926
2017-08-16,0,0.0014854740033148947
2017-08-17,0,0.0049348035723643414
2017-08-18,0,0.0068550106254657035
2017-08-21,0,0.004362180902465241
2017-08-22,0,0.00016934947951126035
2017-08-23,0,0.00013761533321550508
2017-08-24,0,0.0006530601690359409
2017-08-25,0,0.00012906476582157594
2017-08-28,0,0.00020106242425081057
2017-08-29,0,0.0005365315975317706
2017-08-30,0,0.0001895047481008435
2017-08-31,0,2.3277626912905575e-05
2017-09-01,0,2.723044557600585e-05
2017-09-05,0,0.0010343345902398804
2017-09-06,0,0.0004938573747452447
2017-09-07,0,0.0007647753589720557
2017-09-08,0,0.0013840411566920382
2017-09-11,0,0.019799960085883955
2017-09-12,0,0.14945314739319884
2017-09-13,0,0.03201240519531932
2017-09-14,0,0.001277129692459111
2017-09-15,0,0.00026103124011957836
2017-09-18,0,0.0003564226306579819
2017-09-19,0,0.0006959431972631232
2017-09-20,0,0.010654541377776579
