Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
P-LA,-2.8258004725408497,0.0024659827642681,-1.3783245304101231e-09,JPM,False,False,True
A-LA,4.5438609392465645,0.9999964235194247,3.427008873758184e-09,JPM,False,False,False
BG,1.5654055999528018,0.940894998045572,6.334395253530403e-08,JPM,False,False,False
RF,1.5185788603597743,0.9352050040117292,2.1091389125355908e-08,JPM,False,False,False
GB,1.4827357729008088,0.9305681188657108,3.0846072794699712e-09,JPM,False,False,False
NN1_ensemble,-0.989625900639194,0.1614516898044291,-4.882142247635435e-10,JPM,False,False,False
NN1_top1,-0.5999111176405307,0.2744378494296965,-3.7050287818195805e-10,JPM,False,False,False
NN2_ensemble,-1.477460559422647,0.0701354436814771,-6.91828037414926e-10,JPM,False,False,False
NN2_top1,2.7490330154621705,0.996887849279366,1.6552711453610495e-09,JPM,False,False,False
NN3_ensemble,-2.5537790318841718,0.0054968579522256,-1.4031807279656155e-09,JPM,False,False,False
NN3_top1,-1.876468663238198,0.0306278094461096,-1.0187537693910915e-09,JPM,False,False,False
NN4_ensemble,2.374842323201578,0.9910068726624036,1.527030833482781e-09,JPM,False,False,False
NN4_top1,7.091156418245264,0.999999999997316,6.210962480164823e-09,JPM,False,False,False
