model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
RR,0.00012362110739111494,2.2918766546801464e-05,0.37455067268591746,0.10834811823625395,33.45515957347435,5.436312366935425e-08,0.13814672349965817,1.782496942909501e-11,1.7505456380728836e-09,3.916544712445504e-09,AMZN
LA,8.862181927219173e-05,3.277523606938539e-05,0.5224846787747489,0.15115581013036083,13.478855572566125,0.0011833240771940146,0.1659725006307219,1.7781531193320286e-10,6.299896156523721e-10,3.790095230539621e-09,AMZN
EN,0.00012076121133298156,2.386022464941645e-05,0.3862641683189689,0.11242559147210016,30.121292004480257,2.8790191086702777e-07,0.13917281548222038,2.9457158081568056e-11,1.5966814444523868e-09,3.911881813042133e-09,AMZN
P-LA,0.00012378041646642592,2.3267862764877633e-05,0.37249031764672386,0.10969419235747499,32.94828098007408,7.004412128086557e-08,0.13461418940888492,2.4254487110018068e-11,1.7360869724479576e-09,3.932597709042478e-09,AMZN
A-LA,0.0002001799873747244,231.28841582535665,5.038691088777724e-08,1048576.0,-6.760456402773343,1.0,0.0,2.6551381890742914e-09,1.37619103732483e-38,4.544328854151487e-09,AMZN
BG,0.0001669259640555655,1.1947786740496526e-05,0.11984237821363769,0.043258843785172946,436.63388111757035,0.0,0.09883927930536185,5.9755130328419674e-09,2.4226986238781028e-08,4.095170665280593e-09,AMZN
RF,0.00015755616254378588,1.524099354143493e-05,0.16450056956428585,0.06152344703488187,201.30053469653922,0.0,0.10483811443440527,3.47281291102455e-09,1.2289846473056089e-08,4.067909985712384e-09,AMZN
GB,0.00015538798397194534,1.4120942290385771e-05,0.16967033112421223,0.05361294699049556,267.5747331680808,0.0,0.1165368371068296,4.072276754383775e-09,1.2683008289687522e-08,4.014747142715368e-09,AMZN
NN1_ensemble,0.00011614356263691124,2.110646518212003e-05,0.3752691848103185,0.08907619497765808,62.21017550284395,3.097522238704187e-14,0.16824252060646339,5.643674426334578e-10,2.118876123461123e-09,3.779779513264359e-09,AMZN
NN1_top1,0.00011554416160658902,1.9624942482207113e-05,0.36696222451221844,0.08029597098341086,82.61931314162867,0.0,0.17971316654476388,9.277569777160937e-10,2.4303352276339997e-09,3.727653125951185e-09,AMZN
NN2_ensemble,0.00011575599331369927,2.122122341524185e-05,0.3952357654309832,0.095563391671248,43.071602009228485,4.437317180361333e-10,0.1704270756639974,1.8020827850063053e-10,1.81329334398635e-09,3.769852176682926e-09,AMZN
NN2_top1,0.00011633409117858988,2.3363174861560476e-05,0.36236627599887195,0.09733470948553731,61.72767290355206,3.941291737419306e-14,0.131790372774229,9.737155276093467e-10,1.8543873232788688e-09,3.945430060454178e-09,AMZN
NN3_ensemble,0.0001195439484780721,1.839478301668376e-05,0.3736017468932153,0.082048718224791,61.3386637763505,4.796163466380676e-14,0.19038568771319953,2.4505543567621256e-10,2.43213304415897e-09,3.6791536800589212e-09,AMZN
NN3_top1,0.00011902830791765273,2.0867795396046097e-05,0.3465585981815069,0.08626048893231847,77.6121446281767,0.0,0.14304078592276137,1.1549406028347516e-09,2.3109448356501185e-09,3.894304483362176e-09,AMZN
NN4_ensemble,0.00012409799009236594,1.6100973905840266e-05,0.3457241133779222,0.06921575580644979,94.13116868583258,0.0,0.1723032815574056,3.954400208515829e-10,2.804308490687086e-09,3.761326080105182e-09,AMZN
NN4_top1,0.00014573806030366868,1.4366625758760306e-05,0.272348318433953,0.0637729497750395,130.2494824790299,0.0,0.1426864268765634,7.940894254230667e-14,4.628604708959808e-09,3.895914807400543e-09,AMZN
HAR,5.586266233812699e-05,1.1814401080546688e-05,0.32289603696941344,0.06430911062206986,296.13923700636025,0.0,0.07594860142511728,2.6536008445321148e-09,6.056829279591116e-10,1.6758548424910952e-09,JPM
LogHAR,6.196942509990805e-05,8.914001625780471e-06,0.33747953768541855,0.0580810079841475,167.85759228847067,0.0,0.11429896996953781,7.057070799465463e-10,7.988887181548588e-10,1.6063028122300027e-09,JPM
LevHAR,7.619283583753564e-05,9.91060169737805e-06,0.20945904814343408,0.054665328969499154,353.53577288983365,0.0,0.08530848758420795,1.6269609751853669e-09,2.203854942319172e-09,1.658879801309329e-09,JPM
